user_id,signup_date,plan_type,monthly_price,login_frequency_per_week,watch_time_hours_per_week,last_active_days,payment_failures,support_tickets,months_subscribed,cancelled
10001,2023-04-13,Basic,199,6,9.9,24,0,1,22,1
10002,2024-03-11,Basic,199,2,10.0,21,0,2,21,0
10003,2023-09-28,Premium,499,4,13.1,28,0,0,12,0
10004,2023-04-17,Basic,199,7,3.2,11,0,1,8,0
10005,2023-03-13,Basic,199,6,11.7,23,0,1,5,0
10006,2024-12-01,Standard,299,3,8.1,7,0,0,3,0
10007,2023-01-21,Basic,199,3,6.5,19,0,0,22,0
10008,2024-09-06,Standard,299,5,3.4,4,0,2,13,0
10009,2023-05-02,Premium,499,5,10.4,1,0,0,4,0
10010,2024-04-11,Basic,199,6,4.3,19,0,0,21,0
10011,2023-08-03,Standard,299,5,10.1,11,2,2,8,0
10012,2023-11-27,Standard,299,5,15.7,5,1,2,4,0
10013,2024-04-03,Basic,199,6,11.9,29,0,1,7,0
10014,2023-03-29,Standard,299,0,13.6,14,0,1,3,1
10015,2024-01-08,Basic,199,3,5.1,17,0,2,4,0
10016,2023-04-10,Standard,299,1,11.1,17,0,0,8,0
10017,2024-10-25,Basic,199,6,3.4,9,0,1,13,0
10018,2023-05-11,Standard,299,1,7.1,6,0,1,13,0
10019,2024-10-23,Basic,199,7,15.0,9,0,3,9,0
10020,2023-11-05,Premium,499,3,5.6,4,0,0,20,0
10021,2023-12-10,Basic,199,3,12.4,15,0,0,20,0
10022,2024-05-06,Standard,299,3,12.1,28,0,0,5,0
10023,2024-02-18,Standard,299,3,12.3,18,0,0,14,0
10024,2024-01-21,Standard,299,4,2.9,2,0,2,5,1
10025,2023-07-11,Standard,299,5,10.1,6,0,4,3,0
10026,2023-10-04,Standard,299,4,7.4,18,0,0,1,1
10027,2023-06-10,Premium,499,2,12.4,11,0,1,10,0
10028,2024-04-04,Premium,499,3,1.4,9,0,2,15,0
10029,2023-11-10,Basic,199,4,9.5,4,1,1,17,0
10030,2023-01-22,Standard,299,2,8.9,28,0,0,12,0
10031,2023-09-10,Premium,499,3,0.0,1,0,0,14,0
10032,2024-07-14,Premium,499,0,4.5,2,0,1,4,0
10033,2024-04-19,Premium,499,8,0.7,13,0,1,11,1
10034,2023-02-28,Basic,199,4,5.1,14,1,1,15,0
10035,2024-05-25,Basic,199,3,10.2,19,1,0,14,0
10036,2024-11-12,Standard,299,8,8.8,12,0,0,18,0
10037,2024-04-20,Standard,299,5,8.7,16,0,0,22,1
10038,2024-11-30,Standard,299,3,3.8,19,0,1,9,1
10039,2023-07-09,Standard,299,5,12.5,3,2,0,15,0
10040,2024-11-17,Premium,499,1,7.9,18,1,1,21,1
10041,2024-07-16,Basic,199,4,8.1,25,0,1,3,0
10042,2024-07-20,Premium,499,3,11.8,14,0,1,20,0
10043,2023-09-01,Standard,299,1,4.0,14,1,1,13,0
10044,2024-05-19,Basic,199,3,8.9,8,0,1,2,0
10045,2023-05-11,Standard,299,4,9.7,2,0,0,15,1
10046,2024-04-29,Premium,499,1,5.8,1,0,1,14,1
10047,2024-10-08,Basic,199,6,10.6,6,0,0,7,0
10048,2023-01-21,Basic,199,2,9.9,8,1,1,4,0
10049,2023-06-16,Premium,499,4,7.6,21,1,0,4,0
10050,2023-10-01,Basic,199,4,7.5,29,0,0,10,0
10051,2024-01-23,Standard,299,6,10.1,4,0,0,21,0
10052,2024-08-23,Standard,299,3,11.2,16,0,1,19,0
10053,2023-11-12,Standard,299,3,8.3,2,0,0,13,0
10054,2023-01-14,Standard,299,2,12.5,8,0,2,6,0
10055,2023-08-30,Basic,199,7,10.6,7,0,0,8,0
10056,2023-12-12,Standard,299,2,0.8,8,1,0,10,0
10057,2024-07-18,Basic,199,4,2.4,23,0,1,17,0
10058,2023-12-06,Standard,299,5,12.7,16,0,1,9,0
10059,2023-04-02,Basic,199,2,7.0,23,0,1,14,1
10060,2024-01-02,Standard,299,5,8.7,7,0,4,20,0
10061,2024-03-30,Basic,199,5,12.6,20,0,0,5,0
10062,2024-03-03,Basic,199,3,8.0,13,0,0,3,0
10063,2024-05-23,Basic,199,4,8.1,21,0,2,9,0
10064,2023-02-04,Basic,199,4,4.5,15,0,0,12,0
10065,2023-07-25,Premium,499,2,9.5,17,0,0,22,0
10066,2023-03-22,Basic,199,3,10.3,16,0,0,1,1
10067,2024-07-15,Premium,499,3,5.7,23,0,0,11,0
10068,2024-01-23,Premium,499,3,4.3,6,0,1,5,0
10069,2023-01-02,Standard,299,6,18.5,19,0,1,19,0
10070,2024-01-25,Basic,199,1,7.6,14,0,2,4,0
10071,2024-07-19,Basic,199,2,5.3,26,0,1,12,1
10072,2023-04-16,Premium,499,3,10.8,27,0,3,16,1
10073,2024-04-21,Basic,199,1,7.8,6,0,0,16,0
10074,2024-12-03,Basic,199,6,3.7,1,0,1,21,0
10075,2024-02-06,Standard,299,4,9.9,26,0,1,1,0
10076,2024-12-30,Premium,499,3,4.6,1,0,0,3,0
10077,2024-07-09,Premium,499,9,14.3,6,0,0,23,1
10078,2023-06-11,Basic,199,5,10.0,18,2,2,22,0
10079,2023-07-21,Standard,299,6,6.9,5,0,0,20,0
10080,2023-09-27,Basic,199,5,8.4,29,1,0,15,1
10081,2023-09-28,Basic,199,3,11.6,27,0,0,20,0
10082,2024-03-31,Premium,499,4,8.7,11,0,4,17,0
10083,2024-04-06,Basic,199,5,16.5,14,2,2,22,1
10084,2024-12-27,Basic,199,7,12.5,12,1,0,4,0
10085,2023-09-09,Basic,199,1,10.0,6,0,1,3,0
10086,2024-12-02,Premium,499,6,4.3,6,0,1,11,1
10087,2023-10-23,Premium,499,3,7.4,14,0,0,1,0
10088,2024-12-25,Standard,299,5,9.9,25,1,0,5,0
10089,2024-12-20,Premium,499,3,4.7,3,0,3,4,0
10090,2023-12-04,Basic,199,5,13.2,2,0,0,20,0
10091,2023-02-22,Standard,299,4,4.1,0,0,0,8,0
10092,2023-08-05,Basic,199,6,5.5,6,0,3,11,0
10093,2023-07-07,Basic,199,4,5.8,8,0,1,11,0
10094,2024-01-15,Standard,299,6,11.0,0,0,0,18,0
10095,2024-05-07,Premium,499,5,4.8,4,0,1,10,0
10096,2023-02-10,Basic,199,2,0.8,14,0,1,13,1
10097,2023-06-06,Basic,199,1,12.4,3,1,0,20,0
10098,2023-01-15,Basic,199,1,6.2,9,0,0,16,1
10099,2023-03-06,Basic,199,3,3.7,1,0,0,17,0
10100,2024-06-04,Premium,499,5,5.0,22,0,1,18,1
10101,2023-12-10,Standard,299,3,14.9,6,0,0,3,0
10102,2023-05-09,Standard,299,5,5.4,28,2,1,1,1
10103,2024-10-09,Premium,499,4,7.5,23,0,0,2,0
10104,2024-04-16,Basic,199,3,6.2,18,0,0,23,1
10105,2023-03-04,Standard,299,6,3.1,5,0,0,6,0
10106,2023-05-19,Standard,299,5,5.0,14,0,2,18,0
10107,2024-05-13,Standard,299,6,2.8,19,0,1,17,1
10108,2024-08-15,Premium,499,2,11.8,11,1,2,14,0
10109,2024-01-27,Premium,499,5,8.4,10,0,0,17,0
10110,2024-11-05,Basic,199,6,17.9,2,0,0,21,0
10111,2024-02-23,Premium,499,3,5.2,19,0,1,9,0
10112,2023-10-16,Basic,199,5,4.6,27,0,1,22,0
10113,2024-01-14,Basic,199,5,14.1,16,1,0,19,1
10114,2024-05-04,Basic,199,6,12.2,6,0,2,2,0
10115,2023-08-19,Basic,199,3,9.5,22,1,0,3,1
10116,2023-02-10,Standard,299,6,3.5,22,0,0,16,0
10117,2023-01-28,Standard,299,11,15.0,17,1,0,16,0
10118,2023-05-15,Premium,499,5,7.7,16,0,1,1,0
10119,2023-07-20,Standard,299,6,6.3,15,0,1,19,1
10120,2023-02-02,Standard,299,5,12.6,24,1,3,18,1
10121,2023-02-17,Basic,199,5,7.9,1,0,0,10,1
10122,2024-05-17,Basic,199,2,3.3,4,0,2,23,0
10123,2024-02-11,Standard,299,10,8.2,29,2,0,17,1
10124,2024-07-27,Standard,299,2,4.9,20,2,2,1,0
10125,2024-12-28,Premium,499,2,0.0,12,1,0,5,0
